# Copyright (C) 2025  Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus Prime License Agreement,
# the Altera IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Altera and sold by Altera or its authorized distributors.  Please
# refer to the Altera Software License Subscription Agreements 
# on the Quartus Prime software download page.

# Quartus Prime Version 25.1std.0 Build 1129 10/21/2025 SC Lite Edition
# File: D:\dev\E5_TP1\Quartus\pinout.csv
# Generated on: Thu Jun 18 17:37:52 2026

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
<<new node>>,,,,,,,,,,,,,,,,,,,
n_rst,Input,PIN_AH17,4A,B4A_N0,PIN_Y24,,,,,,,,,,,,,,
leds[0],Output,PIN_W15,5A,B5A_N0,PIN_AE4,,,,,,,,,,,,,,
leds[1],Output,PIN_AA24,5A,B5A_N0,PIN_AF5,,,,,,,,,,,,,,
leds[2],Output,PIN_V16,5A,B5A_N0,PIN_AF8,,,,,,,,,,,,,,
leds[3],Output,PIN_V15,5A,B5A_N0,PIN_AE11,,,,,,,,,,,,,,
leds[4],Output,PIN_AF26,5A,B5A_N0,PIN_AF4,,,,,,,,,,,,,,
leds[5],Output,PIN_AE26,5A,B5A_N0,PIN_AD10,,,,,,,,,,,,,,
leds[6],Output,PIN_Y16,5A,B5A_N0,PIN_AE7,,,,,,,,,,,,,,
leds[7],Output,PIN_AA23,5A,B5A_N0,PIN_T12,,,,,,,,,,,,,,
